2026年	令和8
2025年	令和7
2024年	令和6
2023年	令和5
2022年	令和4
2021年	令和3
2020年	令和2
2019年	令和元・平成31
2018年	平成30
2017年	平成29
2016年	平成28
2015年	平成27
2014年	平成26
2013年	平成25
2012年	平成24
2011年	平成23
2010年	平成22
2009年	平成21
2008年	平成20
2007年	平成19
2006年	平成18
2005年	平成17
2004年	平成16
2003年	平成15
2002年	平成14
2001年	平成13
2000年	平成12
1999年	平成11
1998年	平成10
1997年	平成9
1996年	平成8
1995年	平成7
1994年	平成6
1993年	平成5
1992年	平成4
1991年	平成3
1990年	平成2
1989年	平成元・昭和64
1988年	昭和63
1987年	昭和62
1986年	昭和61
1985年	昭和60
1984年	昭和59
1983年	昭和58
1982年	昭和57
1981年	昭和56
1980年	昭和55
1979年	昭和54
1978年	昭和53
1977年	昭和52
1976年	昭和51
1975年	昭和50
1974年	昭和49
1973年	昭和48
1972年	昭和47
1971年	昭和46
1970年	昭和45
1969年	昭和44
1968年	昭和43
1967年	昭和42
1966年	昭和41
1965年	昭和40
1964年	昭和39
1963年	昭和38
1962年	昭和37
1961年	昭和36
1960年	昭和35
1959年	昭和34
1958年	昭和33
1957年	昭和32
1956年	昭和31
1955年	昭和30
1954年	昭和29
1953年	昭和28
1952年	昭和27
1951年	昭和26
1950年	昭和25
1949年	昭和24
1948年	昭和23
1947年	昭和22
1946年	昭和21
1945年	昭和20
1944年	昭和19
1943年	昭和18
1942年	昭和17
1941年	昭和16
1940年	昭和15
1939年	昭和14
1938年	昭和13
1937年	昭和12
1936年	昭和11
1935年	昭和10
1934年	昭和9
1933年	昭和8
1932年	昭和7
1931年	昭和6
1930年	昭和5
1929年	昭和4
1928年	昭和3
1927年	昭和2
1926年	昭和元・大正15
1925年	大正14
1924年	大正13
1923年	大正12
1922年	大正11
1921年	大正10
1920年	大正9
1919年	大正8
1918年	大正7
1917年	大正6
1916年	大正5
1915年	大正4
1914年	大正3
1913年	大正2
1912年	大正元・明治45
1911年	明治44
1910年	明治43
1909年	明治42
1908年	明治41
1907年	明治40
1906年	明治39
1905年	明治38
1904年	明治37
1903年	明治36
1902年	明治35
1901年	明治34
1900年	明治33
